Unnamed: 0,URL Name,URL Sub Domain,URL Domain,Repetition,Web Type,Web Content
5.0,https://stackoverflow.com/help/privileges/edit,,stackoverflow.com,180,Blog Post,Opinion/Specialty
8.0,https://stackoverflow.com/help/privileges/comment,,stackoverflow.com,93,Blog Post,Opinion/Specialty
23.0,https://stackoverflow.com/help/referencing,,stackoverflow.com,83,Blog Post,Opinion/Specialty
24.0,https://stackoverflow.com/help/how-to-answer,,stackoverflow.com,119,Blog Post,Opinion/Specialty
30.0,https://stackoverflow.com/editing-help,,stackoverflow.com,41,Blog Post,Example
41.0,https://stackoverflow.blog/2018/11/21/our-theory-of-moderation-re-visited/,,stackoverflow.blog,3,Blog Post,Opinion/Specialty
44.0,https://blog.libsyn.com/2016/01/12/how-to-get-your-podcast-into-spotify/,blog,libsyn.com,1,Blog Post,Tutorial
51.0,http://archive.is/kTKqG,,archive.is,1,Blog Post,Opinion/Specialty
57.0,https://stackoverflow.com/help/roomba,,stackoverflow.com,84,Blog Post,Opinion/Specialty
75.0,https://blog.stackoverflow.com/2009/04/a-day-in-the-penalty-box/,blog,stackoverflow.com,13,Blog Post,Opinion/Specialty
81.0,http://blog.codinghorror.com/this-is-what-happens-when-you-let-developers-create-ui/,blog,codinghorror.com,1,Blog Post,Opinion/Specialty
89.0,https://stackoverflow.blog/2013/06/25/the-war-of-the-closes/,,stackoverflow.blog,5,Blog Post,Opinion/Specialty
109.0,https://blog.stackoverflow.com/2013/09/five-years-ago-stack-overflow-launched-then-a-miracle-occurred/,blog,stackoverflow.com,2,Blog Post,Opinion/Specialty
115.0,https://stackoverflow.com/help/whats-reputation,,stackoverflow.com,103,Blog Post,Opinion/Specialty
133.0,https://stackoverflow.blog/2015/04/07/stack-overflow-developer-survey-2015-the-results/,,stackoverflow.blog,4,Blog Post,Other
141.0,https://codereview.stackexchange.com/help/on-topic,codereview,stackexchange.com,50,Blog Post,Opinion/Specialty
149.0,https://stackoverflow.com/election/6?tab=nomination&all=true#post-29479494,,stackoverflow.com,2,Blog Post,Other
188.0,https://softwareengineering.stackexchange.com/help/on-topic,softwareengineering,stackexchange.com,38,Blog Post,Opinion/Specialty
204.0,https://blog.stackoverflow.com/2014/09/introducing-runnable-javascript-css-and-html-code-snippets/,blog,stackoverflow.com,20,Blog Post,Tutorial
258.0,https://stackoverflow.com/help/badges/1101/css-selectors,,stackoverflow.com,1,Blog Post,Opinion/Specialty
270.0,https://workplace.stackexchange.com/help/on-topic,workplace,stackexchange.com,8,Blog Post,Opinion/Specialty
283.0,https://stackoverflow.com/help/mcve,,stackoverflow.com,557,Blog Post,Opinion/Specialty
301.0,https://stackoverflow.com/posts/54113147/revisions,,stackoverflow.com,1,Blog Post,Other
315.0,https://stackoverflow.com/review/helper,,stackoverflow.com,18,Blog Post,Opinion/Specialty
329.0,https://stackexchange.com/legal,,stackexchange.com,39,Blog Post,Opinion/Specialty
336.0,https://stackoverflow.com/review/helper/17093153,,stackoverflow.com,1,Blog Post,Opinion/Specialty
343.0,https://www.geeksforgeeks.org/data-mining-process,www,geeksforgeeks.org,1,Blog Post,Tutorial
